continent,location,year,month,cases,deaths,icu,hosp,vax,population,median_age,aged_65_older,aged_70_older,gdp,life,hdi
Africa,Algeria,2020,2,0.10999999999999999,0.0,0.0,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,3,108.098,0.986,0.0,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,4,1557.646,9.098,0.0,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,5,4738.009,4.546,0.0,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,6,7571.593,5.805,0.0,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,7,15112.888,6.679,13.806,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,8,26561.309,6.725,25.933,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,9,32684.902,5.063,21.694,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,10,37735.51,5.108,20.487000000000002,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,11,46493.522,10.466000000000001,26.648,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2020,12,64643.388999999996,7.2860000000000005,19.006999999999998,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2021,1,71997.11,3.024,18.246,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2021,2,69407.177,2.064,7.486,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2021,3,80192.038,2.466,5.581,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
Africa,Algeria,2021,4,80269.134,3.587,12.98,0.0,0.0,44616626,29.1,6.211,3.857,13913.839,76.88,0.748
